TwitterID;URL1;URL2;URL3;;;;
1260091;mobro.co/10398713;;;;;;
1260091;instagram.com/p/u3GP8BoUra/;;;;;;
1265001;mobro.co/barnabydorfman;;;;;;
1290191;mobro.co/billmaslyn;;;;;;
1347391;mobro.co/davidrobinsonsir;;;;;;
1466531;ow.ly/FfIN4;;;;;;
1466531;us.movember.com/team/1683213;;;;;;
1475091;mobro.co/njsf;;;;;;
1475091;mobro.co/njsf;;;;;;
1687971;mobro.co/madebravely;;;;;;
1687971;mobro.co/madebravely;;;;;;
1836321;mobro.co/sethsteinbach;;;;;;
1836321;mobro.co/sethsteinbach;;;;;;
1844541;instagram.com/p/wElE86L5zB/;;;;;;
1844541;mobro.co/keithchu;;;;;;
1844541;instagram.com/p/vhSFGBr5_n/';mobro.co/keithchu;;;;;
1844541;mobro.co/keithchu;;;;;;
2029651;mobro.co/joegoldberg;;;;;;
2029651;fb.me/1HrdnGt5s;;;;;;
2029651;www.facebook.com/events/318486661670215;;;;;;
2029651;mobro.co/joegoldberg;;;;;;
2029651;mobro.co/joegoldberg;;;;;;
2133691;mobro.co/kylecopeland;;;;;;
2133691;mobro.co/kylecopeland;;;;;;
2133691;mobro.co/kylecopeland;;;;;;
2258301;mobro.co/owenallen;;;;;;
2275621;mobro.co/SpectreCollie;;;;;;
2275621;Mobro.co/SpectreCollie;;;;;;
2275621;instagram.com/p/u6EaBppLS6/';mobro.co/SpectreCollie;;;;;
2275621;instagram.com/p/u3jaf1pLak/;;;;;;
2537281;instagram.com/p/vzLYrYkln1/;;;;;;
2537281;mobro.co/jasonmunson;;;;;;
2537281;instagram.com/p/vwDp-ikllR/;;;;;;
2537281;mobro.co/jasonmunson';instagram.com/p/vPM3CREluk/;;;;;
2537281;mobro.co/jasonmunson;;;;;;
2537281;mobro.co/9995689;;;;;;
2859801;mobro.co/adamgraffchicago;;;;;;
2859801;mobro.co/adamgraffchicago;;;;;;
2897031;instagram.com/p/vOnrJ9u3o3/';Mobro.co/toddmarshburn;;;;;
2961801;mobro.co/Refuz;;;;;;
2968661;mobro.co/jaredpedroza;;;;;;
3082131;mobro.co/ronlussier;;;;;;
3352471;mobro.co/rickstercdn;;;;;;
3352471;mobro.co/rickstercdn;;;;;;
3352471;mobro.co/rickstercdn;;;;;;
3352471;mobro.co/rickstercdn;;;;;;
3352471;mobro.co/rickstercdn;;;;;;
3352471;mobro.co/rickstercdn;;;;;;
3582061;mobro.co/laurencekoret;;;;;;
3582061;mobro.co/heritagetonsorial;;;;;;
3744201;mobro.co/tommaszerowski;;;;;;
3744201;mobro.co/tommaszerowski;;;;;;
3744201;mobro.co/tommaszerowski;;;;;;
3744201;mobro.co/tommaszerowski;;;;;;
3744201;mobro.co/tommaszerowski;;;;;;
3744201;moteam.co/iron-smoke-whiskey-s-moustache-contingent;;;;;;
3744201;mobro.co/tommaszerowski;;;;;;
3744201;mobro.co/tommaszerowski;;;;;;
3744201;mobro.co/tommaszerowski;;;;;;
3744201;mobro.co/tommaszerowski;;;;;;
3744201;mobro.co/tommaszerowski;;;;;;
3744201;moteam.co/iron-smoke-whiskey-s-moustache-contingent;;;;;;
3744201;static.movember.com/uploads/2014/member/downloads/7/7671/7671793/MovemberPoster.pdf;;;;;;
4235731;vine.co/v/OvaDQqjg5ZY;;;;;;
4235731;www.movember.com/us/donate/payment/member_id/10582797/;;;;;;
4235731;mobro.co/stevebauermobro;;;;;;
4268601;mobro.co/coolass';ow.ly/i/7EDVP;;;;;
4268601;mobro.co/coolass;;;;;;
4268601;mobro.co/coolass;;;;;;
4268601;mobro.co/coolass;;;;;;
4494241;mobro.co/vrillusions;;;;;;
4494241;mobro.co/vrillusions;;;;;;
4494241;mobro.co/vrillusions;;;;;;
4494241;mobro.co/vrillusions;;;;;;
4494241;mobro.co/vrillusions;;;;;;
4575681;mobro.co/sudarkoff;;;;;;
5035401;moteam.co/new-england-revolution;;;;;;
5035401;wp.me/p2gMWM-gN;;;;;;
5174321;us.movember.com/mospace/4877637;;;;;;
5473782;mobro.co/jayleask;;;;;;
5556762;mobro.co/geekgiant;;;;;;
5556762;mobro.co/geekgiant;;;;;;
5556762;mobro.co/geekgiant;;;;;;
5556762;mobro.co/geekgiant;;;;;;
5556762;instagram.com/p/vSECfHvMU1/';mobro.co/geekgiant;;;;;
5556762;mobro.co/geekgiant;;;;;;
5556762;www.voxuspr.com/2014/11/growing-awareness-movember/;;;;;;
5556762;mobro.co/geekgiant;;;;;;
5568912;mobro.co/jakelewis-nike;;;;;;
5568912;us.movember.com/team/1658001;;;;;;
5568912;fb.me/2JMes423Q;;;;;;
5875952;instagram.com/p/vZ14XOKDm0/;;;;;;
5875952;mobro.co/joshuamcginnis;;;;;;
5910332;mobro.co/budfoxx;;;;;;
5947782;mobro.co/11715369;;;;;;
5960132;mobro.com;;;;;;
5960132;mobro.co/frickhwa;;;;;;
5960132;mobro.co/frickhwa;;;;;;
5968502;moteam.co/control4;;;;;;
5968502;us.movember.com/team/1562017;;;;;;
5968502;us.movember.com/programs;;;;;;
5968502;us.movember.com/programs;;;;;;
5968502;us.movember.com/programs;;;;;;
5968502;mobro.co/glennclapp;;;;;;
5968502;moteam.co/control4;;;;;;
6068362;mobro.co/jordane;;;;;;
6068362;mobro.co/jordane;;;;;;
6328142;us.movember.com/team/1916625;;;;;;
6328142;mobro.co/11524641;;;;;;
6332272;buff.ly/1tTXJpV';mobro.co/MikeMacLeod;;;;;
6426432;www.snowmanonfire.com/2014/11/movember-2014-grey-coarse-and-heartfelt/;;;;;;
6426432;mobro.co/halstern;;;;;;
6530942;mobro.co/atestu;;;;;;
6530942;bit.ly/1pIH6Or;;;;;;
6530942;mobro.co/atestu;;;;;;
6667172;mobro.co/jaredpeterson;;;;;;
6698162;us.movember.com/programs;;;;;;
6698162;instagram.com/p/vu9jy-C_I4/';mobro.co/t3nyc-kickassstache;;;;;
6698162;us.movember.com/team/1794069;;;;;;
6698162;mobro.co/t3nyc-kickassstache;;;;;;
6698162;mobro.co/t3nyc-kickassstache;;;;;;
6698162;instagram.com/p/u3xDJJC_Bp/;;;;;;
6998002;mobro.co/firstresponders;;;;;;
6998002;mobro.co/firstresponders;;;;;;
6998002;mobro.co/firstresponders;;;;;;
6998002;mobro.co/firstresponders;;;;;;
6998002;mobro.co/firstresponders;;;;;;
6998002;us.movember.com/mospace/5093601;;;;;;
6998002;moteam.co/the-first-responders;;;;;;
6998002;moteam.co/the-first-responders;;;;;;
6998002;goo.gl/WLVlPc;;;;;;
6998002;moteam.co/the-first-responders;;;;;;
6998002;mobro.co/firstresponders;;;;;;
6998002;mobro.co/firstresponders;;;;;;
6998002;mobro.co/firstresponders;;;;;;
7028462;us.movember.com/mospace/11248109;;;;;;
7028462;us.movember.com/donate;;;;;;
7241022;us.movember.com/programs;;;;;;
7241022;youtu.be/GjUwKfQjU_Y';mobro.co/jbradway;;;;;
7241022;mobro.co/jbradway;;;;;;
7241022;mobro.co/jbradway;;;;;;
7241022;www.galleryofmo.com/portrait/jamie-bradway;;;;;;
7241022;mobro.co/jbradway;;;;;;
7241022;bit.ly/MOVEyourMo;;;;;;
7241022;www.nami.org/Content/NavigationMenu/Mental_Illnesses/Depression/Depression_and_Men_Fact_Sheet.htm;;;;;;
7241022;www.galleryofmo.com/;;;;;;
7241022;youtu.be/3Y-1N1ewOGg';mobro.co/jbradway;;;;;
7241022;cdn.movember.com/uploads/files/2014/Rules%20%26%20Style%20Guide/Movember%20Style%20Guide.pdf;;;;;;
7241022;mobro.co/jbradway';instagram.com/p/uwqjxbTeDQ/;;;;;
7241022;mobro.co/jbradway';moteam.co/carolina-hurricanes;;;;;
7241022;mobro.co/jbradway;;;;;;
7342412;mobro.co/davidfine';instagram.com/p/v34ugUzCik/;;;;;
7443742;mobro.co/stevedorsey;;;;;;
7443742;Picbadges.com/33895?s=2;;;;;;
7443742;mobro.co/stevedorsey;;;;;;
7634082;movembermattic.wordpress.com/;;;;;;
7634082;mobro.co/mdrovdahl;;;;;;
7687802;mobro.co/theGerb;;;;;;
7798862;mobro.co/jaredmomiller;;;;;;
7798862;mobro.co/jaredmomiller;;;;;;
7798862;mobro.co/jaredmomiller;;;;;;
7798862;mobro.co/jaredmomiller;;;;;;
7856022;mobro.co/markangeli;;;;;;
7856022;mobro.co/markangeli;;;;;;
7856022;mobro.co/markangeli;;;;;;
7856022;mobro.co/markangeli;;;;;;
7856022;mobro.co/markangeli;;;;;;
7856022;mobro.co/markangeli;;;;;;
7856022;moteam.co/pyrocrew;;;;;;
7856022;moteam.co/pyrocrew;;;;;;
7856022;moteam.co/pyrocrew;;;;;;
7856022;mobro.co/markangeli;;;;;;
7966802;mobro.co/patrickmjones;;;;;;
7966802;instagram.com/p/u3Sb9KHR5A/;;;;;;
8207762;mobro.co/maxis;;;;;;
8274592;mobro.co/a-ron;;;;;;
8274592;mobro.co/a-ron;;;;;;
8400192;mobro.co/bennykamlet;;;;;;
8400192;instagram.com/p/v6YdUNL5G2/;;;;;;
8400192;us.movember.com/mospace/5618601;;;;;;
8400192;us.movember.com/mospace/5618601;;;;;;
8400192;mobro.co/bennykamlet;;;;;;
8400192;mobro.co/bennykamlet;;;;;;
8400192;mobro.co/bennykamlet;;;;;;
8400192;mobro.co/bennykamlet;;;;;;
8400192;mobro.co/bennykamlet;;;;;;
8400192;mobro.co/bennykamlet;;;;;;
8400192;mobro.co/bennykamlet;;;;;;
8400192;mobro.co/bennykamlet;;;;;;
8400192;mobro.co/bennykamlet;;;;;;
8400192;us.movember.com/mospace/5618601;;;;;;
8400192;us.movember.com/mospace/5618601;;;;;;
8531732;moteam.co/ministry-of-mustache-growth-management-northwest;;;;;;
8538892;mobro.co/chriscampbell5;;;;;;
8538892;mobro.co/chriscampbell5;;;;;;
8538892;mobro.co/chriscampbell5;;;;;;
8538892;mobro.co/chriscampbell5;;;;;;
8538892;mobro.co/chriscampbell5;;;;;;
8538892;mobro.co/chriscampbell5;;;;;;
8669182;ift.tt/1uRIE9f;;;;;;
8669182;mobro.co/iloveradio;;;;;;
8669182;mobro.co/iloveradio;;;;;;
8669182;www.mobro.co/iloveradio;;;;;;
8669182;mobro.co/iloveradio;;;;;;
8669182;mobro.co/iloveradio;;;;;;
8669182;mobro.com/iloveradio;;;;;;
8669182;mobro.co/iloveradio;;;;;;
8669182;mobro.co/iloveradio;;;;;;
8711552;us.movember.com/mospace/11344109;;;;;;
8711552;us.movember.com/mospace/11344109;;;;;;
8711552;mobro.co/seanhtaylor;;;;;;
8711552;mobro.co/seanhtaylor;;;;;;
8711552;mobro.co/seanhtaylor;;;;;;
8820492;mobro.co/joshfinnie';instagram.com/p/v9jYNhDL54/;;;;;
9093752;bit.ly/MoGlide;;;;;;
9093752;mobro.co/mkedave';vine.co/v/OJH51FrZp5P;;;;;
9093752;vine.co/v/OJ1F737D9JQ;;;;;;
9093752;mobro.co/mkedave;;;;;;
9194592;mobro.co/keaton';instagram.com/p/wIzc-DlkFf/;;;;;
9194592;instagram.com/p/wB4KrglkOL/;;;;;;
9194592;mobro.co/keaton;;;;;;
9194592;mobro.co/keaton;;;;;;
9194592;mobro.co/keaton;;;;;;
9194592;mobro.co/keaton;;;;;;
9194592;instagram.com/p/vG2TVjHiIk/;;;;;;
9194592;mobro.co/keaton;;;;;;
9194592;instagram.com/p/u9DNGUHiEm/;;;;;;
9194592;mobro.co/keaton;;;;;;
9194592;www.swarmapp.com/c/eFPXL1H39FS;;;;;;
9322382;mobro.co/bcurrie;;;;;;
9322382;us.movember.com/team/1583745;;;;;;
9322382;mobro.co/bcurrie;;;;;;
9348562;instagram.com/p/wC81rWImHb/;;;;;;
9348562;mobro.co/aaronstrout;;;;;;
9528322;mobro.co/hockeyphool;;;;;;
9528322;mobro.co/hockeyphool;;;;;;
9528322;mobro.co/hockeyphool;;;;;;
9581642;mobro.co/9676861;;;;;;
9581642;mobro.co/9676861;;;;;;
9581642;mobro.co/9676861;;;;;;
9581642;us.movember.com/mobile/#profile/9676861;;;;;;
9581642;moteam.co/hyper-mo-vergence;;;;;;
9627972;www.swarmapp.com/c/8xzqKgN5Mwn;;;;;;
9627972;bit.ly/1xpfZa2;;;;;;
9627972;us.movember.com/team/1876797;;;;;;
9627972;mobro.co/preillyme;;;;;;
9627972;mobro.co/preillyme;;;;;;
9640242;mobro.co/ericiwamoto;;;;;;
9640242;instagram.com/p/v_7ZwsAQLZ/;;;;;;
9796582;us.movember.com/programs;;;;;;
9796582;us.movember.com/programs;;;;;;
9796582;mobro.co/ardail;;;;;;
9796582;mobro.co/ardail;;;;;;
9796582;instagram.com/p/vCF8xRNZ-4/;;;;;;
9796582;www.swarmapp.com/c/eCQh8WHzVXD;;;;;;
9796582;moteam.co/bay-area-resistance;;;;;;
9796582;us.movember.com/programs;;;;;;
9796582;moteam.co/bay-area-resistance;;;;;;
9824772;mobro.co/djruby;;;;;;
9890982;moteam.co/words;;;;;;
9890982;moteam.co/wwtsd';mobro.co/southard;;;;;
9890982;moteam.co/wwtsd;;;;;;
9890982;us.movember.com/team/1560609;;;;;;
9890982;us.movember.com/team/1560609;;;;;;
10203652;instagram.com/p/wC31H5DHeJ/;;;;;;
10203652;bit.ly/Movember2014;;;;;;
10203652;mobro.co/KDub23;;;;;;
10203652;mobro.co/KDub23;;;;;;
10246222;mobro.co/gregdavispsu;;;;;;
10760862;mobro.co/10590245;;;;;;
10760862;mobro.co/10590245;;;;;;
10938952;mobro.co/10679165;;;;;;
10938952;us.movember.com/mospace/10679165;;;;;;
10980072;mobro.co/lastditchracing;;;;;;
10980072;instagram.com/p/vyK9dxgT_3/;;;;;;
10980072;mobro.co/lastditchracing;;;;;;
10980072;instagram.com/p/vhHfrdAT2c/;;;;;;
10980072;mobro.co/lastditchracing;;;;;;
10980072;mobro.co/lastditchracing;;;;;;
10980072;mobro.co/lastditchracing;;;;;;
10980072;us.movember.com/news/7641/know-why-you-grow-the-mo/?category=local';nydn.us/10lr4Ou;;;;;
10980072;www.JamesonBlackBarrel.com;;;;;;
10980072;mobro.co/lastditchracing;;;;;;
11149162;us.movember.com/team/1632265;;;;;;
11149162;us.movember.com/team/1632265;;;;;;
11149162;mobro.co/paulgoebel;;;;;;
11149162;us.movember.com/programs;;;;;;
11149162;mobro.co/paulgoebel;;;;;;
11149162;mobro.co/paulgoebel;;;;;;
11210932;us.movember.com/team/1565813;;;;;;
11210932;blog.hubspot.com/marketing/movember-data-viral-campaign;;;;;;
11210932;f-st.co/jfrGF43;;;;;;
11210932;mobro.co/stevedanielsbg;;;;;;
11379982;mobro.co/smenzer;;;;;;
11494612;us.movember.com/news/8657/prostate-cancer-breakthrough';mobro.co/zacharycrockett;;;;;
11494612;mobro.co/zacharycrockett;;;;;;
11635332;1drv.ms/1ADU1EU;;;;;;
11635332;mobro.co/henkcampher/;;;;;;
11754072;us.movember.com/team/1621673;;;;;;
11754072;us.movember.com/donate;;;;;;
11864062;timehop.com/c/fup4cfb5;;;;;;
11864062;mobro.co/iansmithdahl';ow.ly/i/7Djnw;;;;;
11964332;youtu.be/Zdr5Sl4LK8o;;;;;;
